route_id,direction_id,direction
"19",0,West
"19",1,East
"62",0,West
"62",1,East
"65",0,East
"65",1,West
"7",0,South
"7",1,North
"14",0,West
"14",1,East
"72M",0,North
"72M",1,South
"99",0,South
"99",1,North
"46",0,West
"46",1,East
"18",0,North
"18",1,South
"51B",0,North
"51B",1,South
"210",0,South
"210",1,North
"54",0,East
"54",1,West
"21",0,East
"21",1,West
"60",0,East
"60",1,West
"339",0,East
"339",1,West
"40",0,South
"40",1,North
"51A",0,South
"51A",1,North
"45",0,West
"45",1,East
"1",0,South
"1",1,North
"840",0,South
"840",1,North
"851",0,North
"851",1,South
"93",0,North
"93",1,South
"95",0,South
"95",1,North
"251",0,North
"251",1,South
"O",0,West
"O",1,East
"52",0,North
"52",1,South
"98",0,East
"98",1,West
"F",0,West
"F",1,East
"NL",0,West
"NL",1,East
"376",0,North
"376",1,South
"57",0,West
"57",1,East
"800",0,East
"800",1,West
"802",0,North
"802",1,South
"88",0,South
"88",1,North
"200",0,North
"200",1,South
"216",0,South
"216",1,North
"67",0,North
"67",1,South
"20",0,West
"20",1,East
"212",0,North
"212",1,South
"217",0,South
"217",1,North
"71",0,South
"71",1,North
"702",0,West
"232",0,South
"232",1,North
"34",0,North
"34",1,South
"35",0,North
"35",1,South
"41",0,South
"41",1,North
"56",0,North
"56",1,South
"6",0,North
"6",1,South
"72",0,South
"72",1,North
"10",0,North
"10",1,South
"801",0,North
"801",1,South
"86",0,North
"86",1,South
"805",0,West
"805",1,East
"74",0,North
"74",1,South
"90",0,East
"90",1,West
"97",0,North
"97",1,South
"73",0,East
"73",1,West
"12",0,North
"12",1,South
"701",0,West
"706",0,West
"70",0,North
"70",1,South
"72R",0,North
"72R",1,South
"76",0,West
"76",1,East
"29",0,West
"29",1,East
"33",0,West
"33",1,East
"36",0,North
"36",1,South
"79",0,North
"79",1,South
"96",0,West
"96",1,East
"80",0,South
"80",1,North
"28",0,North
"28",1,South
