stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"53540","53540",104th Av + Birch St,37.741525,-122.161936,,"","","","","","0",""
"53326","53326",104th Av + Birch St,37.741634,-122.162038,,"","","","","","0",""
"55206","55206",104th Av + Plymouth St,37.74089,-122.164651,,"","","","","","0",""
"51187","51187",104th Av + Plymouth St,37.741064,-122.164479,,"","","","","","0",""
"59151","59151",104th Av + Sunnyside St,37.74219,-122.159603,,"","","","","","0",""
"51989","51989",104th Av + Sunnyside St,37.742086,-122.1594,,"","","","","","0",""
"54020","54020",105th Av + Edes Av,37.733441,-122.178264,,"","","","","","0",""
"51451","51451",105th Av + E St,37.736314,-122.172765,,"","","","","","0",""
"59159","59159",105th Av + E St,37.736573,-122.172634,,"","","","","","0",""
"57993","57993",105th Av + Graffian St,37.738125,-122.168891,,"","","","","","0",""
"57996","57996",105th Av + Graffian St,37.738394,-122.168751,,"","","","","","0",""
"58360","58360",105th Av + Pontiac St,37.738876,-122.167299,,"","","","","","0",""
"59022","59022",105th Av + San Leandro St,37.735645,-122.174649,,"","","","","","0",""
"59195","59195",105th Av + San Leandro St,37.735462,-122.174597,,"","","","","","0",""
"54030","54030",106th Av + Bancroft Av,37.741589,-122.156496,,"","","","","","0",""
"57567","57567",106th Av + Bancroft Av,37.741659,-122.156722,,"","","","","","0",""
"58840","58840",106th Av + Longfellow Av,37.742083,-122.15519,,"","","","","","0",""
"50487","50487",106th Av + MacArthur Blvd,37.743116,-122.152077,,"","","","","","0",""
"58390","58390",106th Av + Voltaire Av,37.742106,-122.154661,,"","","","","","0",""
"57507","57507",1080 Marina Village Pkwy,37.785035,-122.27148,,"","","","","","0",""
"55201","55201",10th St + Adeline St,37.80665,-122.287012,,"","","","","","0",""
"53552","53552",10th St + Adeline St,37.806495,-122.286885,,"","","","","","0",""
"55441","55441",10th St + Fallon St,37.797655,-122.263176,,"","","","","","0",""
"59033","59033",10th St + Filbert St,37.806014,-122.284214,,"","","","","","0",""
"59066","59066",10th St + Filbert St,37.805885,-122.284178,,"","","","","","0",""
"54575","54575",10th St + Kaiser Convention Center,37.7967,-122.260754,,"","","","","","0",""
"58833","58833",10th St + Market St,37.805266,-122.28159,,"","","","","","0",""
"54500","54500",10th St + Market St,37.805492,-122.281725,,"","","","","","0",""
"59225","59225",10th St + Union St,37.806983,-122.289051,,"","","","","","0",""
"51636","51636",10th St + Washington St,37.802254,-122.274456,,"","","","","","0",""
"56707","56707",1105 Atlantic Av,37.780272,-122.264015,,"","","","","","0",""
"57501","57501",1151 Euclid Av,37.887576,-122.261317,,"","","","","","0",""
"55264","55264",1152 Euclid Av,37.887704,-122.261356,,"","","","","","0",""
"54777","54777",11th St + Broadway (12th St BART Station),37.802268,-122.272747,,"","","","","","0",""
"52287","52287",11th St + Brush St,37.805228,-122.280244,,"","","","","","0",""
"59444","59444",11th St + Clay St,37.802963,-122.274464,,"","","","","","0",""
"51828","51828",11th St + Clay St,37.803309,-122.275305,,"","","","","","0",""
"53334","53334",11th St + Franklin St,37.801544,-122.270868,,"","","","","","0",""
"58888","58888",11th St + Harrison St,37.800637,-122.268588,,"","","","","","0",""
"51110","51110",11th St + Jefferson St,37.803658,-122.276263,,"","","","","","0",""
"51184","51184",11th St + Stonington Av,37.976825,-122.351086,,"","","","","","0",""
"58321","58321",1201 Marina Village Pkwy,37.785994,-122.273287,,"","","","","","0",""
